BGP router identifier 10.10.10.4, local AS number 65001
BGP table version is 1, main routing table version 1

Neighbor        V           AS MsgRcvd MsgSent   TblVer  InQ OutQ Up/Down  State/PfxRcd
10.10.10.1      4        65001     513     515        1    0    0 01:21:29        0
10.10.10.2      4        65001     515     516        1    0    0 01:21:29        0
10.10.10.3      4        65001     516     516        1    0    0 01:21:24        0
10.10.10.5      4        65001     514     514        1    0    0 01:21:30        0
10.10.10.6      4        65001     516     515        1    0    0 01:21:26        0
10.10.10.7      4        65001     512     514        1    0    0 01:21:21        0
10.10.10.8      4        65001     513     512        1    0    0 01:21:28        0
10.10.10.9      4        65001     516     515        1    0    0 01:21:25        0
10.10.10.10     4        65001     512     512        1    0    0 01:21:18        0
10.10.10.11     4        65001     514     512        1    0    0 01:21:22        0
10.10.10.12     4        65001     512     515        1    0    0 01:21:14        0
10.10.10.13     4        65001     514     513        1    0    0 01:21:17        0
10.10.10.14     4        65001       0       0        1    0    0 01:18:27 Idle
10.10.10.15     4        65001     510     511        1    0    0 01:21:08        0
10.10.10.16     4        65001     515     510        1    0    0 01:21:02        0
10.10.10.17     4        65001     513     512        1    0    0 01:20:59        0
10.10.10.18     4        65001     513     512        1    0    0 01:21:00        0
10.10.10.19     4        65001     514     512        1    0    0 01:21:03        0
10.10.10.20     4        65001     510     512        1    0    0 01:20:56        0
10.10.10.21     4        65001     510     511        1    0    0 01:20:52        0
10.10.10.22     4        65001     514     513        1    0    0 01:20:52        0
10.10.10.23     4        65001     514     509        1    0    0 01:20:47        0
10.10.10.24     4        65001     513     512        1    0    0 01:20:47        0
10.10.10.25     4        65001     509     510        1    0    0 01:20:43        0
10.10.10.26     4        65001     510     511        1    0    0 01:20:50        0
10.10.10.27     4        65001     511     510        1    0    0 01:20:42        0
10.10.10.28     4        65001       0       0        1    0    0 never    Idle
10.10.10.29     4        65001     509     509        1    0    0 01:20:33        0
10.10.10.30     4        65001     509     509        1    0    0 01:20:37        0
10.10.10.31     4        65001     514     508        1    0    0 01:20:36        0
10.10.10.32     4        65001     509     510        1    0    0 01:20:33        0
10.10.10.33     4        65001     510     512        1    0    0 01:20:27        0
10.10.10.34     4        65001     508     509        1    0    0 01:20:31        0
10.10.10.35     4        65001     510     508        1    0    0 01:20:21        0
10.10.10.36     4        65001     508     510        1    0    0 01:20:24        0
10.10.10.37     4        65001     510     509        1    0    0 01:20:18        0
10.10.10.38     4        65001     505     506        1    0    0 01:20:12        0
10.10.10.39     4        65001     503     506        1    0    0 01:20:10        0
10.10.10.40     4        65001     508     505        1    0    0 01:20:07        0
10.10.10.41     4        65001     508     507        1    0    0 01:20:04        0
10.10.10.42     4        65001     506     504        1    0    0 01:20:06        0
10.10.10.43     4        65001     506     504        1    0    0 01:20:08        0
10.10.10.44     4        65001     506     506        1    0    0 01:20:02        0
10.10.10.45     4        65001     506     504        1    0    0 01:20:06        0
10.10.10.46     4        65001     505     505        1    0    0 01:20:01        0
10.10.10.47     4        65001     505     505        1    0    0 01:20:01        0
10.10.10.48     4        65001     509     506        1    0    0 01:20:02        0
10.10.10.49     4        65001     507     507        1    0    0 01:19:59        0
10.10.10.50     4        65001     507     506        1    0    0 01:19:59        0
