BGP router identifier 10.10.10.13, local AS number 65001
BGP table version is 1, main routing table version 1

Neighbor        V           AS MsgRcvd MsgSent   TblVer  InQ OutQ Up/Down  State/PfxRcd
10.10.10.1      4        65001     516     514        1    0    0 01:21:16        0
10.10.10.2      4        65001     512     514        1    0    0 01:21:15        0
10.10.10.3      4        65001     513     514        1    0    0 01:21:16        0
10.10.10.4      4        65001     513     514        1    0    0 01:21:17        0
10.10.10.5      4        65001     516     512        1    0    0 01:21:13        0
10.10.10.6      4        65001     514     514        1    0    0 01:21:15        0
10.10.10.7      4        65001     514     516        1    0    0 01:21:20        0
10.10.10.8      4        65001     512     514        1    0    0 01:21:19        0
10.10.10.9      4        65001     514     513        1    0    0 01:21:17        0
10.10.10.10     4        65001     513     513        1    0    0 01:21:13        0
10.10.10.11     4        65001     515     515        1    0    0 01:21:15        0
10.10.10.12     4        65001     516     516        1    0    0 01:21:14        0
10.10.10.14     4        65001       0       0        1    0    0 01:18:32 Idle
10.10.10.15     4        65001     513     516        1    0    0 01:21:12        0
10.10.10.16     4        65001     515     513        1    0    0 01:21:15        0
10.10.10.17     4        65001     512     511        1    0    0 01:21:07        0
10.10.10.18     4        65001     512     515        1    0    0 01:21:09        0
10.10.10.19     4        65001     513     512        1    0    0 01:21:08        0
10.10.10.20     4        65001     512     514        1    0    0 01:21:06        0
10.10.10.21     4        65001     514     514        1    0    0 01:21:04        0
10.10.10.22     4        65001     509     513        1    0    0 01:20:58        0
10.10.10.23     4        65001     514     513        1    0    0 01:20:57        0
10.10.10.24     4        65001     511     509        1    0    0 01:20:52        0
10.10.10.25     4        65001     511     514        1    0    0 01:20:54        0
10.10.10.26     4        65001     512     512        1    0    0 01:20:53        0
10.10.10.27     4        65001     512     512        1    0    0 01:20:42        0
10.10.10.28     4        65001       0       0        1    0    0 never    Idle
10.10.10.29     4        65001     511     509        1    0    0 01:20:39        0
10.10.10.30     4        65001     509     509        1    0    0 01:20:38        0
10.10.10.31     4        65001     507     511        1    0    0 01:20:32        0
10.10.10.32     4        65001     510     509        1    0    0 01:20:35        0
10.10.10.33     4        65001     507     510        1    0    0 01:20:34        0
10.10.10.34     4        65001     511     511        1    0    0 01:20:34        0
10.10.10.35     4        65001     509     508        1    0    0 01:20:26        0
10.10.10.36     4        65001     511     508        1    0    0 01:20:23        0
10.10.10.37     4        65001     508     508        1    0    0 01:20:26        0
10.10.10.38     4        65001     508     510        1    0    0 01:20:26        0
10.10.10.39     4        65001     510     508        1    0    0 01:20:27        0
10.10.10.40     4        65001     509     510        1    0    0 01:20:25        0
10.10.10.41     4        65001     504     510        1    0    0 01:20:21        0
10.10.10.42     4        65001     508     509        1    0    0 01:20:14        0
10.10.10.43     4        65001     510     509        1    0    0 01:20:16        0
10.10.10.44     4        65001     505     510        1    0    0 01:20:08        0
10.10.10.45     4        65001     505     506        1    0    0 01:20:10        0
10.10.10.46     4        65001     506     504        1    0    0 01:20:04        0
10.10.10.47     4        65001     505     505        1    0    0 01:19:58        0
10.10.10.48     4        65001     504     503        1    0    0 01:20:00        0
10.10.10.49     4        65001     506     505        1    0    0 01:20:00        0
10.10.10.50     4        65001     504     502        1    0    0 01:19:54        0
